STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2001-Q2,,2.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2001-Q3,,1.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2001-Q4,,0.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2002-Q1,,1.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2002-Q2,,0.8,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2002-Q3,,1.4,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2002-Q4,,2.6,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2003-Q1,,1.0,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2003-Q2,,0.9,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2003-Q3,,1.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2003-Q4,,0.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2004-Q1,,1.7,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2004-Q2,,1.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2004-Q3,,1.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2004-Q4,,2.2,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2005-Q1,,0.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2005-Q2,,2.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2005-Q3,,0.8,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2005-Q4,,0.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2006-Q1,,2.7,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2006-Q2,,0.8,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2006-Q3,,1.6,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2006-Q4,,1.4,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2007-Q1,,1.4,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2007-Q2,,1.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2007-Q3,,2.0,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2007-Q4,,4.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2008-Q1,,0.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2008-Q2,,1.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2008-Q3,,3.0,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2008-Q4,,0.0,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2009-Q1,,1.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2009-Q2,,0.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2009-Q3,,-1.8,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2009-Q4,,-1.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2010-Q1,,3.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2010-Q2,,1.4,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2010-Q3,,-0.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2010-Q4,,-0.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2011-Q1,,4.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2011-Q2,,-4.0,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2011-Q3,,1.6,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2011-Q4,,1.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2012-Q1,,-0.2,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2012-Q2,,0.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2012-Q3,,0.6,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2012-Q4,,0.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2013-Q1,,1.0,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2013-Q2,,1.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2013-Q3,,-4.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2013-Q4,,5.0,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2014-Q1,,0.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2014-Q2,,0.4,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2014-Q3,,-0.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2014-Q4,,0.2,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2015-Q1,,0.7,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2015-Q2,,0.4,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2015-Q3,,1.4,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2015-Q4,,1.0,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2016-Q1,,0.9,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2016-Q2,,0.8,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2016-Q3,,1.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2016-Q4,,0.9,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CLV_PCH_PRE,"Chain linked volumes, percentage change on previous period",SCA,Seasonally and calendar adjusted data,B1GQ,Gross domestic product at market prices,AL,Albania,2017-Q1,,0.5,,,,,
